"Player","Salary","Team"
"Chimezie Metu",838464,"San Antonio Spurs"
"Donatas Motiejunas",99289,"San Antonio Spurs"
"Drew Eubanks",77250,"San Antonio Spurs"
"Ben Moore",77250,"San Antonio Spurs"
"Kyle Lowry",32700000,"Toronto Raptors"
"Marc Gasol",24119025,"Toronto Raptors"
"Kawhi Leonard",23114066,"Toronto Raptors"
"Serge Ibaka",21666667,"Toronto Raptors"
"Danny Green",1e+07,"Toronto Raptors"
"Norman Powell",9367200,"Toronto Raptors"
"Fred VanVleet",8653847,"Toronto Raptors"
"OG Anunoby",1952760,"Toronto Raptors"
"Pascal Siakam",1544951,"Toronto Raptors"
"Justin Hamilton",1e+06,"Toronto Raptors"
"Lorenzo Brown",8e+05,"Toronto Raptors"
"Patrick McCaw",777664,"Toronto Raptors"
"Jeremy Lin",697358,"Toronto Raptors"
"Chris Boucher",457418,"Toronto Raptors"
"Malcolm Miller",457418,"Toronto Raptors"
"Jodie Meeks",319676,"Toronto Raptors"
"Eric Moreland",88531,"Toronto Raptors"
"Jordan Loyd",77250,"Toronto Raptors"
"Rudy Gobert",23491573,"Utah Jazz"
"Derrick Favors",16900000,"Utah Jazz"
"Ricky Rubio",14800000,"Utah Jazz"
"Joe Ingles",12545455,"Utah Jazz"
"Dante Exum",10600000,"Utah Jazz"
"Kyle Korver",7560000,"Utah Jazz"
"Jae Crowder",7305825,"Utah Jazz"
"Thabo Sefolosha",5250000,"Utah Jazz"
"Ekpe Udoh",3360000,"Utah Jazz"
"Donovan Mitchell",3111480,"Utah Jazz"
"Raul Neto",2100000,"Utah Jazz"
"Grayson Allen",2076960,"Utah Jazz"
"Tony Bradley",1679520,"Utah Jazz"
"Georges Niang",1512601,"Utah Jazz"
"Royce O'Neale",1378242,"Utah Jazz"
"Naz Long",77250,"Utah Jazz"
"Tyler Cavanaugh",77250,"Utah Jazz"
"Bradley Beal",25434262,"Washington Wizards"
"Jabari Parker",2e+07,"Washington Wizards"
"John Wall",19169800,"Washington Wizards"
"Ian Mahinmi",1.6e+07,"Washington Wizards"
"Trevor Ariza",1.5e+07,"Washington Wizards"
"Wesley Johnson",6134000,"Washington Wizards"
"Dwight Howard",5337000,"Washington Wizards"
"Tomas Satoransky",3129187,"Washington Wizards"
"Sam Dekker",2760094,"Washington Wizards"
"Troy Brown",2752680,"Washington Wizards"
"Bobby Portis",2494346,"Washington Wizards"
"Jeff Green",2393887,"Washington Wizards"
"Thomas Bryant",1378242,"Washington Wizards"
"Chasson Randle",975824,"Washington Wizards"
"Okaro White",247827,"Washington Wizards"
"Ron Baker",153823,"Washington Wizards"
"John Jenkins",99289,"Washington Wizards"
"Gary Payton II",85457,"Washington Wizards"
"Devin Robinson",77250,"Washington Wizards"
"Jordan McRae",77250,"Washington Wizards"
"Tarik Phillip",47370,"Washington Wizards"
