"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","slugOrganizationTypeFrom","locationOrganizationFrom"
2018,1,1,1,"Deandre Ayton","PHX","Arizona","College/University",1629028,1610612756,"Phoenix Suns","Phoenix","Suns","COL",NA
2018,2,1,2,"Marvin Bagley III","SAC","Duke","College/University",1628963,1610612758,"Sacramento Kings","Sacramento","Kings","COL",NA
2018,3,1,3,"Luka Doncic","ATL","Real Madrid Baloncesto","Other Team/Club",1629029,1610612737,"Atlanta Hawks","Atlanta","Hawks","PRO","Spain"
2018,4,1,4,"Jaren Jackson Jr.","MEM","Michigan State","College/University",1628991,1610612763,"Memphis Grizzlies","Memphis","Grizzlies","COL",NA
2018,5,1,5,"Trae Young","DAL","Oklahoma","College/University",1629027,1610612742,"Dallas Mavericks","Dallas","Mavericks","COL",NA
2018,6,1,6,"Mo Bamba","ORL","Texas","College/University",1628964,1610612753,"Orlando Magic","Orlando","Magic","COL",NA
2018,7,1,7,"Wendell Carter Jr.","CHI","West Virginia","College/University",1628976,1610612741,"Chicago Bulls","Chicago","Bulls","COL",NA
2018,8,1,8,"Collin Sexton","CLE","Alabama","College/University",1629012,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers","COL",NA
2018,9,1,9,"Kevin Knox II","NYK","Kentucky","College/University",1628995,1610612752,"New York Knicks","New York","Knicks","COL",NA
2018,10,1,10,"Mikal Bridges","PHI","Villanova","College/University",1628969,1610612755,"Philadelphia 76ers","Philadelphia","76ers","COL",NA
2018,11,1,11,"Shai Gilgeous-Alexander","CHA","Kentucky","College/University",1628983,1610612766,"Charlotte Hornets","Charlotte","Hornets","COL",NA
2018,12,1,12,"Miles Bridges","LAC","Michigan State","College/University",1628970,1610612746,"LA Clippers","LA","Clippers","COL",NA
2018,13,1,13,"Jerome Robinson","LAC","Boston College","College/University",1629010,1610612746,"LA Clippers","LA","Clippers","COL",NA
2018,14,1,14,"Michael Porter Jr.","DEN","Missouri","College/University",1629008,1610612743,"Denver Nuggets","Denver","Nuggets","COL",NA
2018,15,1,15,"Troy Brown Jr.","WAS","Oregon","College/University",1628972,1610612764,"Washington Wizards","Washington","Wizards","COL",NA
2018,16,1,16,"Zhaire Smith","PHX","Texas Tech","College/University",1629015,1610612756,"Phoenix Suns","Phoenix","Suns","COL",NA
2018,17,1,17,"Donte DiVincenzo","MIL","Villanova","College/University",1628978,1610612749,"Milwaukee Bucks","Milwaukee","Bucks","COL",NA
2018,18,1,18,"Lonnie Walker IV","SAS","Miami (FL)","College/University",1629022,1610612759,"San Antonio Spurs","San Antonio","Spurs","COL",NA
2018,19,1,19,"Kevin Huerter","ATL","Maryland","College/University",1628989,1610612737,"Atlanta Hawks","Atlanta","Hawks","COL",NA
